episode_num,config_idx,radius,N,steps,v_table_size,h_table_size,epsilon
1,1,3,1,8,12797+0,4,0.198100
2,1,3,1,4,12797+0,7,0.196200
3,1,3,1,12,12797+0,12,0.194300
4,1,3,1,2,12797+0,12,0.192400
5,1,3,1,9,12797+0,14,0.190500
6,1,3,1,6,12797+0,14,0.188600
7,1,3,1,3,12797+0,14,0.186700
8,1,3,1,1,12797+0,14,0.184800
9,1,3,1,7,12797+0,15,0.182900
10,1,3,1,2,12797+0,15,0.181000
11,1,3,1,1,12797+0,15,0.179100
12,1,3,1,5,12797+0,15,0.177200
13,1,3,1,3,12797+0,15,0.175300
14,1,3,1,3,12797+0,15,0.173400
15,1,3,1,3,12797+0,15,0.171500
16,1,3,1,3,12797+0,15,0.169600
17,1,3,1,3,12797+0,15,0.167700
18,1,3,1,3,12797+0,15,0.165800
19,1,3,1,3,12797+0,15,0.163900
20,1,3,1,3,12797+0,15,0.162000
21,1,3,1,1,12797+0,15,0.160100
22,1,3,1,1,12797+0,15,0.158200
23,1,3,1,3,12797+0,15,0.156300
24,1,3,1,4,12797+0,15,0.154400
25,1,3,1,3,12797+0,15,0.152500
26,1,3,1,3,12797+0,15,0.150600
27,1,3,1,3,12797+0,15,0.148700
28,1,3,1,1,12797+0,15,0.146800
29,1,3,1,5,12797+0,15,0.144900
30,1,3,1,4,12797+0,15,0.143000
31,1,3,1,8,12797+0,15,0.141100
32,1,3,1,3,12797+0,15,0.139200
33,1,3,1,3,12797+0,15,0.137300
34,1,3,1,2,12797+0,15,0.135400
35,1,3,1,2,12797+0,15,0.133500
36,1,3,1,3,12797+0,15,0.131600
37,1,3,1,4,12797+0,15,0.129700
38,1,3,1,5,12797+0,15,0.127800
39,1,3,1,2,12797+0,15,0.125900
40,1,3,1,3,12797+0,15,0.124000
41,1,3,1,1,12797+0,15,0.122100
42,1,3,1,2,12797+0,15,0.120200
43,1,3,1,2,12797+0,15,0.118300
44,1,3,1,2,12797+0,15,0.116400
45,1,3,1,2,12797+0,15,0.114500
46,1,3,1,3,12797+0,15,0.112600
47,1,3,1,3,12797+0,15,0.110700
48,1,3,1,2,12797+0,15,0.108800
49,1,3,1,3,12797+0,15,0.106900
50,1,3,1,3,12797+0,15,0.105000
51,1,3,1,4,12797+0,15,0.103100
52,1,3,1,4,12797+0,15,0.101200
53,1,3,1,2,12797+0,15,0.099300
54,1,3,1,3,12797+0,15,0.097400
55,1,3,1,10,12797+0,16,0.095500
56,1,3,1,3,12797+0,16,0.093600
57,1,3,1,2,12797+0,16,0.091700
58,1,3,1,4,12797+0,16,0.089800
59,1,3,1,2,12797+0,16,0.087900
60,1,3,1,3,12797+0,16,0.086000
61,1,3,1,3,12797+0,16,0.084100
62,1,3,1,3,12797+0,16,0.082200
63,1,3,1,3,12797+0,16,0.080300
64,1,3,1,3,12797+0,16,0.078400
65,1,3,1,2,12797+0,16,0.076500
66,1,3,1,3,12797+0,16,0.074600
67,1,3,1,5,12797+0,16,0.072700
68,1,3,1,3,12797+0,16,0.070800
69,1,3,1,1,12797+0,16,0.068900
70,1,3,1,5,12797+0,16,0.067000
71,1,3,1,1,12797+0,16,0.065100
72,1,3,1,9,12797+0,18,0.063200
73,1,3,1,2,12797+0,18,0.061300
74,1,3,1,2,12797+0,18,0.059400
75,1,3,1,3,12797+0,18,0.057500
76,1,3,1,3,12797+0,18,0.055600
77,1,3,1,1,12797+0,18,0.053700
78,1,3,1,3,12797+0,18,0.051800
79,1,3,1,3,12797+0,18,0.049900
80,1,3,1,3,12797+0,18,0.048000
81,1,3,1,3,12797+0,18,0.046100
82,1,3,1,1,12797+0,18,0.044200
83,1,3,1,2,12797+0,18,0.042300
84,1,3,1,3,12797+0,18,0.040400
85,1,3,1,2,12797+0,18,0.038500
86,1,3,1,3,12797+0,18,0.036600
87,1,3,1,2,12797+0,18,0.034700
88,1,3,1,1,12797+0,18,0.032800
89,1,3,1,2,12797+0,18,0.030900
90,1,3,1,3,12797+0,18,0.029000
91,1,3,1,3,12797+0,18,0.027100
92,1,3,1,3,12797+0,18,0.025200
93,1,3,1,2,12797+0,18,0.023300
94,1,3,1,3,12797+0,18,0.021400
95,1,3,1,3,12797+0,18,0.019500
96,1,3,1,3,12797+0,18,0.017600
97,1,3,1,3,12797+0,18,0.015700
98,1,3,1,3,12797+0,18,0.013800
99,1,3,1,2,12797+0,18,0.011900
100,1,3,1,3,12797+0,18,0.010000
101,11,5,1,6,12797+0,19,0.198100
102,11,5,1,4,12797+0,19,0.196200
103,11,5,1,5,12797+0,19,0.194300
104,11,5,1,7,12797+0,20,0.192400
105,11,5,1,3,12797+0,20,0.190500
106,11,5,1,6,12797+0,20,0.188600
107,11,5,1,3,12797+0,20,0.186700
108,11,5,1,2,12797+0,20,0.184800
109,11,5,1,5,12797+0,20,0.182900
110,11,5,1,26,12797+0,28,0.181000
111,11,5,1,3,12797+0,28,0.179100
112,11,5,1,4,12797+0,28,0.177200
113,11,5,1,5,12797+0,28,0.175300
114,11,5,1,4,12797+0,28,0.173400
115,11,5,1,8,12797+0,29,0.171500
116,11,5,1,4,12797+0,29,0.169600
117,11,5,1,4,12797+0,29,0.167700
