episode_num,config_idx,radius,N,steps,v_table_size,h_table_size,epsilon
118,11,5,1,3,12797+0,29,0.165800
119,11,5,1,7,12797+0,29,0.163900
120,11,5,1,3,12797+0,29,0.162000
121,11,5,1,3,12797+0,29,0.160100
122,11,5,1,18,12797+0,34,0.158200
123,11,5,1,5,12797+0,34,0.156300
124,11,5,1,3,12797+0,34,0.154400
125,11,5,1,6,12797+0,34,0.152500
126,11,5,1,3,12797+0,34,0.150600
127,11,5,1,6,12797+0,34,0.148700
128,11,5,1,9,12797+0,34,0.146800
129,11,5,1,1,12797+0,34,0.144900
130,11,5,1,5,12797+0,34,0.143000
131,11,5,1,5,12797+0,34,0.141100
132,11,5,1,7,12797+0,34,0.139200
133,11,5,1,10,12797+0,36,0.137300
134,11,5,1,5,12797+0,36,0.135400
135,11,5,1,1,12797+0,36,0.133500
136,11,5,1,8,12797+0,36,0.131600
137,11,5,1,2,12797+0,36,0.129700
138,11,5,1,5,12797+0,36,0.127800
139,11,5,1,4,12797+0,36,0.125900
140,11,5,1,5,12797+0,36,0.124000
141,11,5,1,5,12797+0,36,0.122100
142,11,5,1,3,12797+0,36,0.120200
143,11,5,1,3,12797+0,36,0.118300
144,11,5,1,6,12797+0,36,0.116400
145,11,5,1,1,12797+0,36,0.114500
146,11,5,1,2,12797+0,36,0.112600
147,11,5,1,5,12797+0,36,0.110700
148,11,5,1,5,12797+0,36,0.108800
149,11,5,1,4,12797+0,36,0.106900
150,11,5,1,7,12797+0,36,0.105000
151,11,5,1,4,12797+0,36,0.103100
152,11,5,1,5,12797+0,36,0.101200
153,11,5,1,2,12797+0,36,0.099300
154,11,5,1,5,12797+0,36,0.097400
155,11,5,1,4,12797+0,36,0.095500
156,11,5,1,4,12797+0,36,0.093600
157,11,5,1,2,12797+0,36,0.091700
158,11,5,1,7,12797+0,36,0.089800
159,11,5,1,5,12797+0,36,0.087900
160,11,5,1,5,12797+0,36,0.086000
161,11,5,1,4,12797+0,36,0.084100
162,11,5,1,4,12797+0,36,0.082200
163,11,5,1,2,12797+0,36,0.080300
164,11,5,1,3,12797+0,36,0.078400
165,11,5,1,4,12797+0,36,0.076500
166,11,5,1,4,12797+0,36,0.074600
167,11,5,1,3,12797+0,36,0.072700
168,11,5,1,7,12797+0,36,0.070800
169,11,5,1,5,12797+0,36,0.068900
170,11,5,1,4,12797+0,36,0.067000
171,11,5,1,6,12797+0,36,0.065100
172,11,5,1,5,12797+0,36,0.063200
173,11,5,1,4,12797+0,36,0.061300
174,11,5,1,5,12797+0,36,0.059400
175,11,5,1,5,12797+0,36,0.057500
176,11,5,1,2,12797+0,36,0.055600
177,11,5,1,2,12797+0,36,0.053700
178,11,5,1,4,12797+0,36,0.051800
179,11,5,1,4,12797+0,36,0.049900
180,11,5,1,2,12797+0,36,0.048000
181,11,5,1,4,12797+0,36,0.046100
182,11,5,1,2,12797+0,36,0.044200
183,11,5,1,3,12797+0,36,0.042300
184,11,5,1,5,12797+0,36,0.040400
185,11,5,1,5,12797+0,36,0.038500
186,11,5,1,4,12797+0,36,0.036600
187,11,5,1,3,12797+0,36,0.034700
188,11,5,1,2,12797+0,36,0.032800
189,11,5,1,5,12797+0,36,0.030900
190,11,5,1,4,12797+0,36,0.029000
191,11,5,1,5,12797+0,36,0.027100
192,11,5,1,3,12797+0,36,0.025200
193,11,5,1,4,12797+0,36,0.023300
194,11,5,1,5,12797+0,36,0.021400
195,11,5,1,4,12797+0,36,0.019500
196,11,5,1,3,12797+0,36,0.017600
197,11,5,1,3,12797+0,36,0.015700
198,11,5,1,5,12797+0,36,0.013800
199,11,5,1,3,12797+0,36,0.011900
200,11,5,1,4,12797+0,36,0.010000
201,12,5,10,33,12797+0,141,0.198100
202,12,5,10,86,12797+0,300,0.196200
203,12,5,10,29,12797+0,382,0.194300
204,12,5,10,59,12797+0,474,0.192400
205,12,5,10,63,12797+0,587,0.190500
206,12,5,10,54,12797+0,716,0.188600
207,12,5,10,38,12797+0,756,0.186700
208,12,5,10,44,12797+0,814,0.184800
209,12,5,10,33,12797+0,875,0.182900
210,12,5,10,42,12797+0,942,0.181000
211,12,5,10,24,12797+0,959,0.179100
212,12,5,10,53,12797+0,1016,0.177200
213,12,5,10,42,12797+0,1058,0.175300
214,12,5,10,30,12797+0,1107,0.173400
215,12,5,10,40,12797+0,1150,0.171500
216,12,5,10,36,12797+0,1175,0.169600
217,12,5,10,45,12797+0,1203,0.167700
218,12,5,10,39,12797+0,1223,0.165800
219,12,5,10,32,12797+0,1254,0.163900
220,12,5,10,23,12797+0,1270,0.162000
221,12,5,10,29,12797+0,1296,0.160100
222,12,5,10,27,12797+0,1318,0.158200
223,12,5,10,24,12797+0,1333,0.156300
224,12,5,10,27,12797+0,1358,0.154400
225,12,5,10,29,12797+0,1380,0.152500
226,12,5,10,24,12797+0,1404,0.150600
227,12,5,10,36,12797+0,1429,0.148700
228,12,5,10,38,12797+0,1452,0.146800
229,12,5,10,23,12797+0,1463,0.144900
230,12,5,10,33,12797+0,1476,0.143000
231,12,5,10,28,12797+0,1491,0.141100
232,12,5,10,93,12797+0,1512,0.139200
233,12,5,10,22,12797+0,1522,0.137300
234,12,5,10,24,12797+0,1532,0.135400
235,12,5,10,23,12797+0,1550,0.133500
236,12,5,10,35,12797+0,1573,0.131600
237,12,5,10,27,12797+0,1586,0.129700
238,12,5,10,32,12797+0,1614,0.127800
239,12,5,10,21,12797+0,1622,0.125900
240,12,5,10,32,12797+0,1639,0.124000
241,12,5,10,38,12797+0,1660,0.122100
242,12,5,10,24,12797+0,1672,0.120200
243,12,5,10,22,12797+0,1695,0.118300
244,12,5,10,22,12797+0,1706,0.116400
245,12,5,10,29,12797+0,1714,0.114500
246,12,5,10,47,12797+0,1723,0.112600
247,12,5,10,62,12797+0,1727,0.110700
248,12,5,10,24,12797+0,1733,0.108800
249,12,5,10,21,12797+0,1741,0.106900
250,12,5,10,20,12797+0,1746,0.105000
251,12,5,10,20,12797+0,1754,0.103100
252,12,5,10,21,12797+0,1767,0.101200
253,12,5,10,28,12797+0,1781,0.099300
254,12,5,10,22,12797+0,1792,0.097400
255,12,5,10,21,12797+0,1805,0.095500
256,12,5,10,20,12797+0,1809,0.093600
257,12,5,10,20,12797+0,1818,0.091700
258,12,5,10,21,12797+0,1818,0.089800
259,12,5,10,26,12797+0,1825,0.087900
260,12,5,10,20,12797+0,1830,0.086000
261,12,5,10,20,12797+0,1834,0.084100
262,12,5,10,24,12797+0,1838,0.082200
263,12,5,10,25,12797+0,1842,0.080300
264,12,5,10,19,12797+0,1844,0.078400
265,12,5,10,30,12797+0,1856,0.076500
266,12,5,10,26,12797+0,1863,0.074600
267,12,5,10,21,12797+0,1867,0.072700
268,12,5,10,21,12797+0,1872,0.070800
269,12,5,10,25,12797+0,1878,0.068900
270,12,5,10,25,12797+0,1889,0.067000
271,12,5,10,24,12797+0,1891,0.065100
272,12,5,10,23,12797+0,1893,0.063200
273,12,5,10,21,12797+0,1895,0.061300
274,12,5,10,19,12797+0,1895,0.059400
275,12,5,10,22,12797+0,1901,0.057500
276,12,5,10,24,12797+0,1913,0.055600
277,12,5,10,21,12797+0,1922,0.053700
278,12,5,10,22,12797+0,1933,0.051800
279,12,5,10,26,12797+0,1934,0.049900
280,12,5,10,22,12797+0,1936,0.048000
281,12,5,10,29,12797+0,1939,0.046100
282,12,5,10,21,12797+0,1944,0.044200
283,12,5,10,26,12797+0,1949,0.042300
284,12,5,10,22,12797+0,1949,0.040400
285,12,5,10,22,12797+0,1951,0.038500
286,12,5,10,20,12797+0,1954,0.036600
287,12,5,10,22,12797+0,1955,0.034700
288,12,5,10,20,12797+0,1956,0.032800
289,12,5,10,20,12797+0,1961,0.030900
290,12,5,10,23,12797+0,1967,0.029000
291,12,5,10,21,12797+0,1967,0.027100
292,12,5,10,22,12797+0,1969,0.025200
293,12,5,10,23,12797+0,1971,0.023300
294,12,5,10,19,12797+0,1973,0.021400
295,12,5,10,24,12797+0,1987,0.019500
296,12,5,10,24,12797+0,1993,0.017600
297,12,5,10,19,12797+0,1994,0.015700
298,12,5,10,22,12797+0,2000,0.013800
299,12,5,10,19,12797+0,2004,0.011900
300,12,5,10,21,12797+0,2008,0.010000
301,13,5,20,49,12797+0,2092,0.198100
302,13,5,20,44,12797+0,2145,0.196200
303,13,5,20,109,12797+0,2232,0.194300
304,13,5,20,61,12797+0,2297,0.192400
305,13,5,20,42,12797+0,2354,0.190500
306,13,5,20,49,12797+0,2382,0.188600
307,13,5,20,55,12797+0,2421,0.186700
308,13,5,20,42,12797+0,2464,0.184800
309,13,5,20,46,12797+0,2494,0.182900
310,13,5,20,50,12797+0,2538,0.181000
311,13,5,20,42,12797+0,2577,0.179100
312,13,5,20,39,12797+0,2605,0.177200
313,13,5,20,45,12797+0,2636,0.175300
314,13,5,20,46,12797+0,2676,0.173400
315,13,5,20,48,12797+0,2719,0.171500
316,13,5,20,42,12797+0,2733,0.169600
317,13,5,20,47,12797+0,2770,0.167700
318,13,5,20,48,12797+0,2790,0.165800
319,13,5,20,43,12797+0,2808,0.163900
320,13,5,20,45,12797+0,2811,0.162000
321,13,5,20,48,12797+0,2838,0.160100
322,13,5,20,43,12797+0,2841,0.158200
323,13,5,20,42,12797+0,2874,0.156300
324,13,5,20,43,12797+0,2890,0.154400
325,13,5,20,45,12797+0,2905,0.152500
326,13,5,20,46,12797+0,2949,0.150600
327,13,5,20,49,12797+0,2994,0.148700
328,13,5,20,42,12797+0,2999,0.146800
329,13,5,20,44,12797+0,3011,0.144900
330,13,5,20,40,12797+0,3026,0.143000
331,13,5,20,42,12797+0,3058,0.141100
332,13,5,20,44,12797+0,3070,0.139200
333,13,5,20,64,12797+0,3108,0.137300
334,13,5,20,41,12797+0,3125,0.135400
335,13,5,20,41,12797+0,3128,0.133500
336,13,5,20,42,12797+0,3132,0.131600
337,13,5,20,41,12797+0,3143,0.129700
338,13,5,20,43,12797+0,3143,0.127800
339,13,5,20,43,12797+0,3144,0.125900
340,13,5,20,41,12797+0,3147,0.124000
341,13,5,20,42,12797+0,3158,0.122100
342,13,5,20,69,12797+0,3206,0.120200
343,13,5,20,43,12797+0,3209,0.118300
344,13,5,20,43,12797+0,3212,0.116400
345,13,5,20,40,12797+0,3217,0.114500
346,13,5,20,40,12797+0,3223,0.112600
347,13,5,20,40,12797+0,3227,0.110700
348,13,5,20,40,12797+0,3240,0.108800
349,13,5,20,41,12797+0,3247,0.106900
350,13,5,20,40,12797+0,3256,0.105000
351,13,5,20,42,12797+0,3260,0.103100
352,13,5,20,45,12797+0,3264,0.101200
353,13,5,20,39,12797+0,3267,0.099300
354,13,5,20,39,12797+0,3269,0.097400
355,13,5,20,39,12797+0,3270,0.095500
356,13,5,20,40,12797+0,3283,0.093600
357,13,5,20,46,12797+0,3286,0.091700
358,13,5,20,44,12797+0,3289,0.089800
359,13,5,20,41,12797+0,3292,0.087900
360,13,5,20,40,12797+0,3295,0.086000
361,13,5,20,45,12797+0,3307,0.084100
362,13,5,20,39,12797+0,3309,0.082200
363,13,5,20,44,12797+0,3323,0.080300
364,13,5,20,43,12797+0,3329,0.078400
365,13,5,20,40,12797+0,3330,0.076500
366,13,5,20,39,12797+0,3331,0.074600
367,13,5,20,42,12797+0,3335,0.072700
368,13,5,20,40,12797+0,3338,0.070800
369,13,5,20,39,12797+0,3339,0.068900
370,13,5,20,40,12797+0,3340,0.067000
371,13,5,20,42,12797+0,3340,0.065100
372,13,5,20,41,12797+0,3342,0.063200
373,13,5,20,43,12797+0,3344,0.061300
374,13,5,20,40,12797+0,3345,0.059400
375,13,5,20,40,12797+0,3350,0.057500
376,13,5,20,43,12797+0,3353,0.055600
377,13,5,20,39,12797+0,3355,0.053700
378,13,5,20,41,12797+0,3356,0.051800
379,13,5,20,39,12797+0,3356,0.049900
380,13,5,20,39,12797+0,3356,0.048000
381,13,5,20,41,12797+0,3359,0.046100
382,13,5,20,39,12797+0,3363,0.044200
383,13,5,20,39,12797+0,3368,0.042300
384,13,5,20,39,12797+0,3370,0.040400
385,13,5,20,40,12797+0,3370,0.038500
386,13,5,20,40,12797+0,3371,0.036600
387,13,5,20,39,12797+0,3373,0.034700
388,13,5,20,43,12797+0,3373,0.032800
389,13,5,20,39,12797+0,3376,0.030900
390,13,5,20,39,12797+0,3376,0.029000
391,13,5,20,39,12797+0,3376,0.027100
392,13,5,20,43,12797+0,3378,0.025200
393,13,5,20,39,12797+0,3382,0.023300
394,13,5,20,42,12797+0,3382,0.021400
395,13,5,20,43,12797+0,3389,0.019500
396,13,5,20,40,12797+0,3393,0.017600
397,13,5,20,39,12797+0,3393,0.015700
398,13,5,20,43,12797+0,3393,0.013800
399,13,5,20,40,12797+0,3394,0.011900
400,13,5,20,41,12797+0,3394,0.010000
401,21,7,1,7,12797+0,3394,0.198100
402,21,7,1,5,12797+0,3394,0.196200
403,21,7,1,5,12797+0,3394,0.194300
404,21,7,1,2,12797+0,3394,0.192400
405,21,7,1,4,12797+0,3394,0.190500
406,21,7,1,8,12797+0,3394,0.188600
407,21,7,1,2,12797+0,3394,0.186700
408,21,7,1,11,12797+0,3394,0.184800
409,21,7,1,2,12797+0,3394,0.182900
410,21,7,1,2,12797+0,3394,0.181000
411,21,7,1,8,12797+0,3394,0.179100
412,21,7,1,8,12797+0,3394,0.177200
413,21,7,1,7,12797+0,3394,0.175300
414,21,7,1,3,12797+0,3394,0.173400
415,21,7,1,10,12797+0,3394,0.171500
416,21,7,1,9,12797+0,3394,0.169600
417,21,7,1,4,12797+0,3394,0.167700
418,21,7,1,4,12797+0,3394,0.165800
419,21,7,1,6,12797+0,3394,0.163900
420,21,7,1,5,12797+0,3394,0.162000
421,21,7,1,4,12797+0,3394,0.160100
422,21,7,1,8,12797+0,3394,0.158200
423,21,7,1,5,12797+0,3394,0.156300
424,21,7,1,7,12797+0,3394,0.154400
425,21,7,1,4,12797+0,3394,0.152500
426,21,7,1,9,12797+0,3394,0.150600
427,21,7,1,7,12797+0,3394,0.148700
428,21,7,1,7,12797+0,3394,0.146800
429,21,7,1,6,12797+0,3394,0.144900
430,21,7,1,8,12797+0,3394,0.143000
431,21,7,1,5,12797+0,3394,0.141100
432,21,7,1,8,12797+0,3394,0.139200
433,21,7,1,6,12797+0,3394,0.137300
434,21,7,1,5,12797+0,3394,0.135400
435,21,7,1,2,12797+0,3394,0.133500
436,21,7,1,7,12797+0,3394,0.131600
437,21,7,1,4,12797+0,3394,0.129700
438,21,7,1,3,12797+0,3394,0.127800
439,21,7,1,2,12797+0,3394,0.125900
440,21,7,1,9,12797+0,3394,0.124000
441,21,7,1,1,12797+0,3394,0.122100
442,21,7,1,7,12797+0,3394,0.120200
443,21,7,1,6,12797+0,3394,0.118300
444,21,7,1,7,12797+0,3394,0.116400
445,21,7,1,4,12797+0,3394,0.114500
446,21,7,1,15,12797+0,3394,0.112600
447,21,7,1,7,12797+0,3394,0.110700
448,21,7,1,6,12797+0,3394,0.108800
449,21,7,1,6,12797+0,3394,0.106900
450,21,7,1,7,12797+0,3394,0.105000
451,21,7,1,7,12797+0,3394,0.103100
452,21,7,1,9,12797+0,3394,0.101200
453,21,7,1,6,12797+0,3394,0.099300
454,21,7,1,8,12797+0,3394,0.097400
455,21,7,1,5,12797+0,3394,0.095500
456,21,7,1,7,12797+0,3394,0.093600
457,21,7,1,7,12797+0,3394,0.091700
458,21,7,1,2,12797+0,3394,0.089800
459,21,7,1,5,12797+0,3394,0.087900
460,21,7,1,7,12797+0,3394,0.086000
461,21,7,1,5,12797+0,3394,0.084100
462,21,7,1,7,12797+0,3394,0.082200
463,21,7,1,7,12797+0,3394,0.080300
464,21,7,1,6,12797+0,3394,0.078400
465,21,7,1,6,12797+0,3394,0.076500
466,21,7,1,6,12797+0,3394,0.074600
467,21,7,1,6,12797+0,3394,0.072700
468,21,7,1,11,12797+0,3394,0.070800
469,21,7,1,3,12797+0,3394,0.068900
470,21,7,1,7,12797+0,3394,0.067000
471,21,7,1,6,12797+0,3394,0.065100
472,21,7,1,2,12797+0,3394,0.063200
473,21,7,1,7,12797+0,3394,0.061300
474,21,7,1,5,12797+0,3394,0.059400
475,21,7,1,2,12797+0,3394,0.057500
476,21,7,1,6,12797+0,3394,0.055600
477,21,7,1,7,12797+0,3394,0.053700
478,21,7,1,11,12797+0,3394,0.051800
479,21,7,1,3,12797+0,3394,0.049900
480,21,7,1,6,12797+0,3394,0.048000
481,21,7,1,5,12797+0,3394,0.046100
482,21,7,1,7,12797+0,3394,0.044200
483,21,7,1,7,12797+0,3394,0.042300
484,21,7,1,2,12797+0,3394,0.040400
485,21,7,1,4,12797+0,3394,0.038500
486,21,7,1,2,12797+0,3394,0.036600
487,21,7,1,4,12797+0,3394,0.034700
488,21,7,1,5,12797+0,3394,0.032800
489,21,7,1,5,12797+0,3394,0.030900
490,21,7,1,7,12797+0,3394,0.029000
491,21,7,1,3,12797+0,3394,0.027100
492,21,7,1,5,12797+0,3394,0.025200
493,21,7,1,6,12797+0,3394,0.023300
494,21,7,1,2,12797+0,3394,0.021400
495,21,7,1,5,12797+0,3394,0.019500
496,21,7,1,7,12797+0,3394,0.017600
497,21,7,1,6,12797+0,3394,0.015700
498,21,7,1,5,12797+0,3394,0.013800
499,21,7,1,7,12797+0,3394,0.011900
500,21,7,1,7,12797+0,3394,0.010000
501,22,7,10,31,12797+0,3402,0.198100
502,22,7,10,20,12797+0,3402,0.196200
503,22,7,10,27,12797+0,3405,0.194300
504,22,7,10,33,12797+0,3407,0.192400
505,22,7,10,26,12797+0,3411,0.190500
506,22,7,10,24,12797+0,3411,0.188600
507,22,7,10,20,12797+0,3411,0.186700
508,22,7,10,25,12797+0,3414,0.184800
509,22,7,10,20,12797+0,3414,0.182900
510,22,7,10,22,12797+0,3418,0.181000
511,22,7,10,22,12797+0,3419,0.179100
512,22,7,10,30,12797+0,3428,0.177200
513,22,7,10,27,12797+0,3436,0.175300
514,22,7,10,24,12797+0,3444,0.173400
515,22,7,10,23,12797+0,3448,0.171500
516,22,7,10,24,12797+0,3451,0.169600
517,22,7,10,20,12797+0,3453,0.167700
518,22,7,10,27,12797+0,3458,0.165800
519,22,7,10,25,12797+0,3459,0.163900
520,22,7,10,26,12797+0,3464,0.162000
521,22,7,10,25,12797+0,3471,0.160100
522,22,7,10,31,12797+0,3479,0.158200
523,22,7,10,27,12797+0,3480,0.156300
524,22,7,10,20,12797+0,3480,0.154400
525,22,7,10,23,12797+0,3487,0.152500
526,22,7,10,22,12797+0,3488,0.150600
527,22,7,10,23,12797+0,3489,0.148700
528,22,7,10,25,12797+0,3497,0.146800
529,22,7,10,27,12797+0,3500,0.144900
530,22,7,10,22,12797+0,3504,0.143000
531,22,7,10,25,12797+0,3518,0.141100
532,22,7,10,21,12797+0,3519,0.139200
533,22,7,10,20,12797+0,3520,0.137300
534,22,7,10,27,12797+0,3522,0.135400
535,22,7,10,24,12797+0,3522,0.133500
536,22,7,10,20,12797+0,3523,0.131600
537,22,7,10,38,12797+0,3526,0.129700
538,22,7,10,21,12797+0,3529,0.127800
539,22,7,10,22,12797+0,3531,0.125900
540,22,7,10,22,12797+0,3534,0.124000
541,22,7,10,23,12797+0,3538,0.122100
542,22,7,10,27,12797+0,3540,0.120200
543,22,7,10,21,12797+0,3541,0.118300
544,22,7,10,25,12797+0,3547,0.116400
545,22,7,10,25,12797+0,3550,0.114500
546,22,7,10,22,12797+0,3550,0.112600
547,22,7,10,24,12797+0,3555,0.110700
548,22,7,10,26,12797+0,3570,0.108800
549,22,7,10,22,12797+0,3571,0.106900
550,22,7,10,24,12797+0,3572,0.105000
551,22,7,10,23,12797+0,3573,0.103100
552,22,7,10,22,12797+0,3577,0.101200
553,22,7,10,22,12797+0,3579,0.099300
554,22,7,10,30,12797+0,3579,0.097400
555,22,7,10,25,12797+0,3579,0.095500
556,22,7,10,20,12797+0,3579,0.093600
557,22,7,10,20,12797+0,3581,0.091700
558,22,7,10,27,12797+0,3585,0.089800
559,22,7,10,24,12797+0,3586,0.087900
560,22,7,10,28,12797+0,3587,0.086000
561,22,7,10,21,12797+0,3588,0.084100
562,22,7,10,23,12797+0,3591,0.082200
563,22,7,10,21,12797+0,3591,0.080300
564,22,7,10,25,12797+0,3592,0.078400
565,22,7,10,24,12797+0,3593,0.076500
566,22,7,10,22,12797+0,3599,0.074600
567,22,7,10,21,12797+0,3600,0.072700
568,22,7,10,20,12797+0,3601,0.070800
569,22,7,10,23,12797+0,3601,0.068900
570,22,7,10,20,12797+0,3601,0.067000
571,22,7,10,27,12797+0,3604,0.065100
572,22,7,10,20,12797+0,3604,0.063200
573,22,7,10,22,12797+0,3606,0.061300
574,22,7,10,20,12797+0,3607,0.059400
575,22,7,10,22,12797+0,3607,0.057500
576,22,7,10,21,12797+0,3607,0.055600
577,22,7,10,20,12797+0,3607,0.053700
578,22,7,10,21,12797+0,3607,0.051800
579,22,7,10,20,12797+0,3612,0.049900
580,22,7,10,22,12797+0,3616,0.048000
581,22,7,10,25,12797+0,3623,0.046100
582,22,7,10,20,12797+0,3625,0.044200
583,22,7,10,21,12797+0,3628,0.042300
584,22,7,10,20,12797+0,3630,0.040400
585,22,7,10,20,12797+0,3630,0.038500
586,22,7,10,21,12797+0,3630,0.036600
587,22,7,10,20,12797+0,3635,0.034700
588,22,7,10,32,12797+0,3648,0.032800
589,22,7,10,19,12797+0,3648,0.030900
590,22,7,10,19,12797+0,3648,0.029000
591,22,7,10,23,12797+0,3650,0.027100
592,22,7,10,21,12797+0,3650,0.025200
593,22,7,10,21,12797+0,3652,0.023300
594,22,7,10,22,12797+0,3654,0.021400
595,22,7,10,22,12797+0,3654,0.019500
596,22,7,10,24,12797+0,3656,0.017600
597,22,7,10,20,12797+0,3658,0.015700
598,22,7,10,21,12797+0,3659,0.013800
599,22,7,10,19,12797+0,3661,0.011900
600,22,7,10,21,12797+0,3663,0.010000
601,23,7,20,44,12797+0,3689,0.198100
602,23,7,20,40,12797+0,3698,0.196200
603,23,7,20,45,12797+0,3709,0.194300
604,23,7,20,47,12797+0,3780,0.192400
605,23,7,20,43,12797+0,3819,0.190500
606,23,7,20,41,12797+0,3855,0.188600
607,23,7,20,57,12797+0,3884,0.186700
608,23,7,20,52,12797+0,3957,0.184800
609,23,7,20,54,12797+0,3976,0.182900
610,23,7,20,44,12797+0,3982,0.181000
611,23,7,20,40,12797+0,4005,0.179100
612,23,7,20,43,12797+0,4022,0.177200
613,23,7,20,41,12797+0,4035,0.175300
614,23,7,20,47,12797+0,4080,0.173400
